Dyads, Elaborating,Child Joint attention,Child Initiation,Dyadic Adaptation-Regulation,Fluency,Dyadic reciprocity,Acknowledging,mean_mag_head_GCWT,mean_mag_Midhip_GCWT,mean_mag_Rwrist_GCWT,mean_mag_Lwrist_GCWT,Pseudo_dyad_CWT,Real_dyads_CWT,Pseudo_dyad_GCWT_25,Real dyads_GCWT_25
1,4,3,2,2.5,3,2.5,3.5,329.8564652,467.0922507,495.3611109,419.250775,0.214453652,0.282993624,1460.760226,1805.819656
2,4.5,3.5,3.5,4,4,4,4.5,230.06811,359.60579,472.6815157,492.2740064,0.267110172,0.281850671,1405.211664,1846.666326
3,4.5,4,4,4,4,4.5,4.5,552.5284746,710.0855461,1091.849082,784.8621669,0.248215197,0.306939162,985.9855415,2295.08729
4,4,3.5,3.5,4.5,4,4.5,4,294.6290331,289.4009578,1043.574195,998.3024425,0.222699784,0.291097786,1946.347453,2008.521234
5,4,2.5,4,2.5,2.5,2.5,4,921.0514926,1033.832229,1169.240607,952.1666662,0.255738122,0.225846636,1200.064217,2487.998282
6,4.5,3.5,4,4,3.5,3.5,5,2013.635962,620.4700426,914.5409296,695.3466528,0.222699784,0.278245944,1191.362622,1405.355921
7,5,4,4,4.5,5,4.5,4.5,903.5290707,1520.615234,1582.184586,2067.083871,0.222699784,0.330352932,1129.875806,2008.525496
8,3,2.5,2.5,3,3,3,3.5,744.4649542,694.2590761,1132.245205,904.9116176,0.261688651,0.243310318,1191.354678,1052.898772
9,3.5,1.5,3.5,2.5,3,2.5,3.5,264.7441635,201.3206465,446.5925675,456.9457857,0.255738122,0.25118954,2085.254076,1771.409259
10,4.5,4,4,4.5,4,4.5,4.5,844.6953137,800.2918226,1011.458277,1254.07155,0.250828497,0.365257218,1430.16645,1636.107489
11,2,3.5,2,3,3,3,3.5,642.4373524,406.6117274,840.4344,821.6381493,0.222699784,0.276428469,1633.106997,1272.612012
12,4,3.5,3.5,3,3,3,4,208.4799632,198.6302731,384.4634291,398.3516354,0.24720353,0.241788914,1838.232065,1796.376575
13,4,3.5,4,3.5,3.5,3.5,3.5,336.1331452,330.0264327,531.2727531,372.7610218,0.245029584,0.269327515,1406.232675,1704.399597
14,5,4.5,4.5,5,5,5,5,918.4068309,1911.169153,1868.035966,1384.77598,0.243607141,0.313493414,1567.105703,1796.376575
15,3.5,3,3.5,2.5,2.5,2.5,3.5,377.6655833,282.321065,1172.833291,1197.852954,0.222699784,0.25332921,1276.076915,1931.283871
16,3,2.5,3,3,3,3,3,471.5667789,439.227306,641.5297927,626.5348421,0.212348466,0.262402413,1200.064217,2487.998282
17,4.5,4,3.5,4,4,4,4,303.8794176,362.9230231,437.0601256,510.5594354,0.184856378,0.253180117,1266.590629,1807.57281
18,4.5,3.5,3,3.5,3.5,3.5,4.5,1069.769551,1003.355571,803.7708296,925.500414,0.323738117,0.329665997,1430.16645,1846.666326
19,5,5,4.5,5,5,5,5,310.8613228,361.5860734,621.454938,495.4641315,0.232655922,0.427585677,1944.324657,1386.116181
20,4.5,4.5,4,4.5,4.5,4.5,4.5,224.322458,262.2675042,504.6096344,515.8911263,0.19152057,0.278369192,1200.064217,1638.686269
21,4,4.5,4.5,4,4,4,4,160.9077605,187.3527756,441.044418,339.3758909,0.187304002,0.296904752,1723.136014,2641.830491
22,3,3.5,3.5,3.5,3.5,3.5,3.5,321.3501677,349.9616695,463.6510373,487.5128413,0.220692914,0.296868058,1354.223115,1886.854477
23,4.5,4.5,4.5,5,4.5,5,5,1423.94312,1527.99832,1424.867797,2161.389967,0.2121349,0.309795987,987.9855415,2349.959803
24,4,3.5,3,4,4,4,4,980.3247463,945.3967365,1176.275851,1123.775814,0.241894814,0.287763329,886.4194637,2359.258869
25,3,3,2.5,3,3,3,3,41.99333231,69.05921077,238.5701947,245.1398679,0.222100003,0.284846166,1451.649595,1972.548112
26,3.5,3,3,3,3,3,3.5,915.5497617,1165.872442,1443.449643,1098.875991,0.208511308,0.255224914,1047.152479,2265.184545
27,4.5,4,4.5,4.5,4,4.5,4,1007.661079,1013.057747,787.887247,1043.57818,0.196011367,0.263898169,1782.909405,2008.532465
28,3.5,4.5,4,3.5,3.5,3.5,3.5,734.7123895,581.44089,1569.566044,1765.33384,0.246017744,0.289403836,1430.16645,3250.62015
29,4.5,4.5,4.5,4.5,4.5,4.5,4.5,682.2194614,870.7332082,894.1533649,922.5196411,0.233460282,0.299258416,1636.83286,1293.853087
30,4,4,4,4,4,4,4,813.3667467,661.3311685,957.5241742,887.5336207,0.201389008,0.28450317,1047.152479,1214.149658
31,4,3.5,3.5,3.5,3.5,3.5,4,1541.529732,1612.120442,2220.551802,1741.704546,0.284211429,0.34858244,987.9855415,1579.533869
32,4.5,4.5,3.5,4,4,4,4,425.4619153,312.9149823,630.2472954,567.6789677,0.206975558,0.284211429,1104.422533,1876.681721
33,5,5,4.5,4.5,4.5,4.5,4.5,174.3230924,185.9187556,204.6214153,202.148798,0.167100702,0.317165338,983.155467,1904.184484
34,5,4.5,4.5,4.5,4.5,5,5,199.945718,233.0841008,424.2306844,542.8353403,0.254330172,0.334273631,1256.128764,1815.362189
35,5,5,4.5,5,5,5,5,250.9955674,243.1807462,384.9757045,390.7247044,0.192917377,0.442436351,1946.347453,1359.673234
36,3.5,3.5,3.5,3,3,3,3.5,714.6813405,919.8780228,1361.318615,1146.865522,0.208242137,0.218655413,1738.217092,1655.109148
37,4,4,3.5,3.5,3.5,4,4,1633.183106,1724.274216,3997.251354,2162.99843,0.23056157,0.25547027,1998.187496,1911.353875
38,4.5,4.5,4.5,4.5,4.5,4.5,4.5,1142.072932,1521.835625,1713.706117,1559.515103,0.227371536,0.32406083,1636.83286,1338.157179
39,4.5,4.5,4,4.5,4.5,4.5,4.5,1605.606199,960.2565551,1232.032269,1232.997359,0.332477405,0.342344448,886.4194637,1956.439884
40,4.5,3.5,4.5,3.5,3.5,3.5,4.5,202.4172554,206.8078587,226.9882914,221.5603974,0.268722052,0.261688651,1490.748619,1904.184484
41,4,3,3,3.5,3.5,3.5,4,738.6696527,675.2336982,1647.924165,1272.642533,0.214200335,0.246565383,1797.52714,2359.258869
42,4.5,3.5,4.5,4.5,4.5,4.5,4.5,1679.216967,1260.996421,1747.991338,2238.711773,0.261685913,0.310007403,1650.198323,1631.290055
43,4.5,3.5,3.5,4,4,4,4.5,272.6610837,335.6481083,540.4506415,478.023639,0.150311613,0.280171555,987.9855415,1387.726165
44,3,3,3,3,3,3,3,197.3283204,356.5992892,549.4802074,610.8508612,0.211862802,0.235465348,1129.875806,871.0120792
45,4,4,4,4,4,4,4,565.5785124,1001.596526,1145.41273,745.4577075,0.192917377,0.336650293,1650.198323,2344.585446
