"frame_no","bodyparts","x_p1","y_p1","c_p1","x_p2","y_p2","c_p2"
1,"Nose",236.593,522.11,0.9457,435.985,504.012,0.844869
1,"Neck",195.567,585.518,0.813401,485.624,563,0.894192
1,"RShoulder",195.566,590.134,0.921819,458.552,563.051,0.8468
1,"RElbow",200.103,671.857,0.914503,454.011,635.719,0.705004
1,"RWrist",236.151,744.482,0.994761,422.25,703.359,0.857281
1,"LShoulder",195.366,576.476,0.715123,495.034,562.847,0.899542
1,"LElbow",0,0,0,526.769,640.045,0.878365
1,"LWrist",0,0,0,454.055,662.732,0.88482
1,"MidHip",199.892,735.091,0.799434,467.699,717.042,0.793008
1,"RHip",199.973,735.318,0.889594,453.866,717.023,0.851788
1,"RKnee",204.529,853.261,0.912499,463.076,821.402,0.827092
1,"RAnkle",195.566,966.717,0.885787,490.308,921.026,0.864267
1,"LHip",195.674,730.607,0.725543,485.95,717.131,0.848218
1,"LKnee",209.184,848.585,0.777519,485.724,830.478,0.842274
1,"LAnkle",200.268,948.486,0.819421,521.886,948.372,0.835419
1,"REye",231.987,513.054,0.918903,0,0,0
1,"LEye",0,0,0,449.429,490.584,0.955361
1,"REar",200.108,522.014,0.974602,0,0,0
1,"LEar",0,0,0,481.129,508.534,0.867927
1,"LBigToe",259.064,957.293,0.716419,481.123,971.079,0.833688
1,"LSmallToe",241.032,943.847,0.658648,490.457,975.706,0.798889
1,"LHeel",195.67,962.025,0.448671,526.63,957.53,0.890418
1,"RBigToe",240.818,989.252,0.805559,449.557,943.909,0.835097
1,"RSmallToe",231.759,993.92,0.838409,449.714,930.252,0.797773
1,"RHeel",190.904,989.256,0.840369,503.936,925.647,0.536506
2,"Nose",240.801,522.086,0.935236,440.363,503.984,0.848197
2,"Neck",195.609,585.558,0.81488,485.627,562.975,0.899635
2,"RShoulder",195.551,590.175,0.91817,458.506,563.03,0.856878
2,"RElbow",200.091,671.93,0.909019,454.025,635.717,0.732794
2,"RWrist",236.144,744.505,0.989734,422.291,703.342,0.862678
2,"LShoulder",195.467,576.549,0.713827,495.063,562.826,0.898179
2,"LElbow",0,0,0,526.8,640.003,0.876245
2,"LWrist",0,0,0,454.1,662.692,0.888843
2,"MidHip",199.921,735.122,0.801439,467.702,712.746,0.794212
2,"RHip",199.978,739.537,0.891011,453.853,712.736,0.855603
2,"RKnee",204.537,853.275,0.912001,458.775,821.395,0.830432
2,"RAnkle",195.627,966.667,0.897847,490.278,921.033,0.866765
2,"LHip",199.914,730.651,0.724656,485.965,717.102,0.850535
2,"LKnee",209.196,848.603,0.781906,485.737,830.472,0.842753
2,"LAnkle",204.524,948.429,0.810998,521.886,948.363,0.836552
2,"REye",236.14,513.01,0.913193,0,0,0
2,"LEye",0,0,0,449.461,490.566,0.962169
2,"REar",200.187,522.023,0.975946,0,0,0
2,"LEar",0,0,0,481.147,508.479,0.871456
2,"LBigToe",259.065,953,0.714288,481.13,971.07,0.838348
2,"LSmallToe",245.35,943.816,0.652712,490.462,975.689,0.802366
2,"LHeel",199.972,961.966,0.437983,526.636,957.503,0.892456
2,"RBigToe",240.851,989.197,0.816688,449.54,943.886,0.831603
2,"RSmallToe",231.785,993.869,0.850987,449.698,930.237,0.796531
2,"RHeel",190.968,989.195,0.850035,503.894,925.646,0.538499
3,"Nose",240.826,522.073,0.927926,440.342,504.003,0.846857
3,"Neck",195.668,585.503,0.813945,485.617,562.993,0.896867
3,"RShoulder",195.532,590.136,0.916387,458.512,563.056,0.853742
3,"RElbow",200.096,676.219,0.908664,454.015,635.687,0.708934
3,"RWrist",232.016,744.554,0.982906,422.273,703.372,0.849961
3,"LShoulder",195.638,576.516,0.720168,495.034,562.82,0.902284
3,"LElbow",0,0,0,526.785,639.996,0.890761
3,"LWrist",0,0,0,454.038,662.658,0.898223
3,"MidHip",199.972,735.161,0.799074,467.668,717.065,0.793616
3,"RHip",199.996,739.579,0.895198,453.84,717.064,0.855561
3,"RKnee",204.551,853.299,0.910117,463.103,821.42,0.827749
3,"RAnkle",195.608,966.71,0.893515,490.309,921.03,0.867832
3,"LHip",199.993,730.687,0.715591,485.943,717.131,0.849962
3,"LKnee",213.588,848.598,0.777038,485.73,830.479,0.846262
3,"LAnkle",204.516,948.47,0.815566,521.896,948.421,0.837544
3,"REye",236.157,512.988,0.90904,0,0,0
3,"LEye",0,0,0,449.437,490.574,0.959644
3,"REar",200.256,522.038,0.976524,0,0,0
3,"LEar",0,0,0,481.15,508.45,0.872057
3,"LBigToe",263.368,957.359,0.723554,481.177,971.063,0.835996
3,"LSmallToe",245.383,943.941,0.651557,490.492,975.706,0.794884
3,"LHeel",199.952,961.996,0.440725,526.631,957.579,0.881689
3,"RBigToe",240.877,989.289,0.832828,449.574,943.915,0.842367
3,"RSmallToe",231.77,993.942,0.864262,453.86,930.277,0.804446
3,"RHeel",190.948,989.228,0.849105,503.923,925.666,0.541458
4,"Nose",240.836,522.096,0.922719,440.351,504.019,0.844968
4,"Neck",195.666,585.514,0.809394,485.615,563.028,0.898186
4,"RShoulder",195.515,590.117,0.913168,454.299,563.091,0.864289
4,"RElbow",200.056,671.971,0.916168,454.121,635.725,0.737005
4,"RWrist",231.961,744.508,0.989814,422.361,703.43,0.863994
4,"LShoulder",195.635,576.571,0.71731,499.347,562.868,0.894637
4,"LElbow",0,0,0,526.862,640.108,0.875885
4,"LWrist",0,0,0,454.104,662.612,0.900346
4,"MidHip",200.002,735.197,0.795234,467.725,717.07,0.795244
4,"RHip",200.033,739.609,0.889768,453.877,717.055,0.8612
4,"RKnee",204.529,853.343,0.910071,463.092,821.425,0.82937
4,"RAnkle",195.592,966.701,0.893889,490.296,921.039,0.870753
4,"LHip",199.998,730.731,0.713215,485.976,717.15,0.851511
4,"LKnee",209.134,848.606,0.776503,485.726,830.481,0.847401
4,"LAnkle",200.33,948.474,0.816877,521.89,948.427,0.83837
4,"REye",236.2,513.004,0.90601,0,0,0
4,"LEye",0,0,0,449.439,490.58,0.957795
4,"REar",204.506,522.025,0.96428,0,0,0
4,"LEar",0,0,0,481.165,508.493,0.874474
4,"LBigToe",263.364,957.333,0.720864,481.188,971.072,0.84116
4,"LSmallToe",245.362,943.908,0.653866,490.495,980.074,0.799148
4,"LHeel",199.949,962.003,0.440122,526.622,957.581,0.88446
4,"RBigToe",240.904,989.297,0.824665,449.581,943.913,0.838504
4,"RSmallToe",231.801,993.95,0.859746,453.863,930.275,0.801324
4,"RHeel",190.923,989.226,0.850907,503.89,925.677,0.544946
5,"Nose",240.826,522.164,0.913814,440.363,508.465,0.84923
5,"Neck",195.701,585.524,0.81206,485.661,563,0.904728
5,"RShoulder",195.515,590.104,0.915853,454.326,563.063,0.868302
5,"RElbow",200.047,671.996,0.916483,454.212,635.731,0.72877
5,"RWrist",231.956,744.527,0.984996,422.417,703.398,0.854568
5,"LShoulder",199.933,576.604,0.726362,499.406,562.862,0.887395
5,"LElbow",0,0,0,526.808,640.13,0.874738
5,"LWrist",0,0,0,454.112,662.603,0.900403
5,"MidHip",200.07,735.218,0.796508,472.138,717.044,0.797845
5,"RHip",200.048,739.624,0.898201,453.923,712.738,0.862466
5,"RKnee",204.534,853.361,0.909709,458.725,817.131,0.84976
5,"RAnkle",195.646,971.04,0.887493,490.264,920.974,0.87934
5,"LHip",200.113,730.759,0.714653,490.125,717.122,0.85239
5,"LKnee",209.196,848.595,0.777459,485.707,826.024,0.851546
5,"LAnkle",204.541,948.382,0.814041,521.943,948.363,0.838658
5,"REye",236.238,513.075,0.903112,0,0,0
5,"LEye",0,0,0,449.422,494.791,0.951606
5,"REar",204.619,522.015,0.959885,0,0,0
5,"LEar",0,0,0,481.176,508.49,0.876017
5,"LBigToe",263.409,957.316,0.75661,481.305,971.055,0.83362
5,"LSmallToe",245.457,943.88,0.678378,494.815,975.661,0.776211
5,"LHeel",199.981,961.945,0.447774,526.656,957.528,0.872163
5,"RBigToe",240.983,993.59,0.829243,449.565,943.819,0.858769
5,"RSmallToe",231.839,998.22,0.86011,453.849,925.943,0.837169
5,"RHeel",190.983,989.287,0.853653,499.457,925.635,0.567838
6,"Nose",240.862,522.157,0.91458,440.362,508.443,0.846894
6,"Neck",199.873,585.53,0.815245,485.627,563.043,0.899536
6,"RShoulder",195.536,590.096,0.921218,454.316,563.088,0.871969
6,"RElbow",200.033,671.965,0.921402,454.207,639.912,0.74258
6,"RWrist",231.92,744.512,0.987548,422.426,703.422,0.852479
6,"LShoulder",200.014,580.953,0.732896,495.063,562.885,0.886911
6,"LElbow",0,0,0,526.811,640.105,0.887666
6,"LWrist",0,0,0,454.142,662.61,0.906564
6,"MidHip",200.105,735.179,0.789266,467.713,717.082,0.79875
6,"RHip",200.028,739.593,0.898188,453.854,717.051,0.864479
6,"RKnee",200.325,853.281,0.91501,458.692,817.101,0.861585
6,"RAnkle",195.62,966.692,0.893865,490.303,916.719,0.878046
6,"LHip",200.208,730.708,0.706977,485.988,717.151,0.854361
6,"LKnee",209.238,848.575,0.773225,485.679,825.962,0.859074
6,"LAnkle",204.54,948.372,0.814064,521.897,948.373,0.835392
6,"REye",236.267,513.075,0.906454,0,0,0
6,"LEye",0,0,0,449.426,494.799,0.950235
6,"REar",204.641,522.021,0.961691,0,0,0
6,"LEar",0,0,0,481.152,512.909,0.879714
6,"LBigToe",263.365,957.358,0.742498,481.252,971.085,0.851428
6,"LSmallToe",245.45,948.312,0.66762,494.784,975.697,0.794465
6,"LHeel",199.966,961.926,0.446787,526.632,957.552,0.873557
6,"RBigToe",240.91,993.549,0.82832,449.584,943.828,0.848687
6,"RSmallToe",231.77,998.159,0.855393,449.716,925.932,0.827599
6,"RHeel",190.967,989.226,0.851307,499.523,925.57,0.566459
7,"Nose",240.893,522.184,0.919692,440.384,508.478,0.849034
7,"Neck",199.882,585.532,0.816536,485.665,563.052,0.908714
7,"RShoulder",195.548,590.1,0.923029,454.299,563.096,0.876026
7,"RElbow",200.046,671.976,0.925663,454.111,635.703,0.766063
7,"RWrist",231.933,744.535,0.985088,422.418,703.453,0.859413
7,"LShoulder",200.015,580.967,0.732483,499.414,562.925,0.881519
7,"LElbow",0,0,0,526.73,640.07,0.899629
7,"LWrist",0,0,0,454.091,662.629,0.912022
7,"MidHip",200.112,735.19,0.789164,467.739,717.072,0.797083
7,"RHip",200.035,739.606,0.899001,453.87,717.044,0.86581
7,"RKnee",204.509,853.315,0.912845,458.693,817.117,0.859585
