frame_no,bodyparts,x_p1,y_p1,c_p1,x_p2,y_p2,c_p2
1,Nose,236.593,522.11,0.9457,435.985,504.012,0.844869
2,Nose,240.801,522.086,0.935236,440.363,503.984,0.848197
3,Nose,240.826,522.073,0.927926,440.342,504.003,0.846857
4,Nose,240.836,522.096,0.922719,440.351,504.019,0.844968
5,Nose,240.826,522.164,0.913814,440.363,508.465,0.84923
6,Nose,240.862,522.157,0.91458,440.362,508.443,0.846894
7,Nose,240.893,522.184,0.919692,440.384,508.478,0.849034
8,Nose,240.885,522.149,0.915033,440.374,508.553,0.849327
9,Nose,240.889,522.2,0.919729,435.977,512.929,0.8497
10,Nose,240.858,522.183,0.924745,440.333,512.984,0.858977
11,Nose,240.873,522.205,0.921149,440.319,513.015,0.859671
12,Nose,240.913,522.235,0.927545,440.32,513.018,0.862618
13,Nose,240.929,522.194,0.916021,440.32,513.055,0.865202
14,Nose,240.932,522.205,0.92302,440.33,513.048,0.862419
15,Nose,240.924,522.226,0.933826,440.34,513.014,0.862849
16,Nose,240.987,522.294,0.930968,440.341,512.943,0.853392
17,Nose,245.352,522.29,0.927907,440.34,512.908,0.85295
18,Nose,245.423,526.431,0.930278,440.367,508.52,0.848939
19,Nose,245.418,526.49,0.928711,440.418,508.534,0.854739
20,Nose,245.407,526.429,0.932447,440.458,508.53,0.859752
21,Nose,245.412,526.448,0.930921,440.475,512.93,0.871327
22,Nose,245.392,522.283,0.932796,440.494,512.921,0.867021
23,Nose,241.037,522.247,0.930721,440.515,508.511,0.866642
24,Nose,240.958,522.22,0.929781,444.879,512.895,0.878803
25,Nose,240.904,522.207,0.929992,444.934,512.939,0.895246
26,Nose,240.925,522.253,0.930695,445.041,512.965,0.908395
27,Nose,240.859,522.277,0.936317,449.279,508.548,0.914627
28,Nose,240.787,522.23,0.942077,449.393,508.379,0.913682
29,Nose,240.792,522.248,0.933302,449.471,512.943,0.942702
30,Nose,236.529,526.423,0.940792,449.546,512.976,0.950879
31,Nose,236.493,526.481,0.940878,449.706,508.535,0.943096
32,Nose,236.531,526.506,0.947192,453.86,512.878,0.940329
33,Nose,236.54,526.427,0.945604,453.95,508.49,0.933181
34,Nose,236.56,526.503,0.94055,454.071,508.439,0.920767
35,Nose,236.552,526.475,0.942413,454.184,504.024,0.906122
36,Nose,236.594,526.464,0.938703,454.163,508.382,0.905932
37,Nose,240.821,526.466,0.934064,454.166,504.003,0.907311
